UBICACI‡N EQUIPOS ITS ;;;;;;;;;;;;SISTEMA;CANTIDAD;
18/09/2025;;;;;;SEPARACI‡N;;;OBSERVACI‡N;;;;NO OBJETADOS;EPC
CANTIDAD;RUTA;UF;VIA ;SISTEMA;UBICACI‡N;SOS;PMV IZQ;PMV DERE;;;;RADAR-ANPR;38;12
;;;;;;;;;;;;PMV;29;28
1;4510;5,2;UNIDIRECCIONAL;CCTV;38+100;;;;;;;CCTV;121;30
2;4510;0D;SEPARADOR;CCTV;40+050;;;;;;;POSTE SOS ;88;88
3;4510;0D;DERECHA;PMV;41+000;;;;40+450;INTER KORAN;;GALIBO;19;8
4;4510;0D;IZQUERDA;PMV;41+200;;;;;;;METEO;11;4
5;4510;0D;DERECHA;POSTE SOS ;41+180;;;;;;;TOTAL;306;170
6;4510;0D;DERECHA;GALIBO;41+350;;;;;;;;;
7;4510;0D;IZQUERDA;POSTE SOS ;43+560;2+380;;;;;;;;
8;4510;0D;DERECHA;POSTE SOS ;46+550;2+990;;;48+360;PEATONAL;;;;
9;4510;0D;IZQUERDA;POSTE SOS ;49+550;3+000;;;;;;;;
10;4510;0D;DERECHA;POSTE SOS ;52+550;3+000;;;;;;;;
11;4510;0D;IZQUERDA;RADAR-ANPR;54+000;;;;;;;;;
12;4510;0D;DERECHA;RADAR-ANPR;54+000;;;;;;;;;
13;4510;0D;IZQUERDA;POSTE SOS ;55+500;2+950;;;;;;;;
14;4510;0D;IZQUERDA;PMV;57+350;;16+150;;;;;;;
15;4510;0D;DERECHA;POSTE SOS ;58+500;3+000;;;;;;;;
16;4510;0D;DERECHA;PMV;58+950;;;17+950;;;;;;
17;4510;0D;IZQUERDA;POSTE SOS ;61+500;3+000;;;;;;;;
18;4510;0D;DERECHA;POSTE SOS ;64+450;2+950;;;;;;;;
19;4510;0D;IZQUERDA;POSTE SOS ;67+150;2+700;;;;;;;;
20;4510;0D;SEPARADOR;CCTV;69+000;;;;68+434;PEATONAL;;;;
21;4510;0D;DERECHA;POSTE SOS ;70+150;3+000;;;;;;;;
22;4510;0D;IZQUERDA;POSTE SOS ;73+110;2+960;;;;;;;;
23;4510;0D;DERECHA;POSTE SOS ;76+020;2+910;;;;;;;;
24;4510;0D;IZQUERDA;PMV;77+350;;20+000;;;;;;;
25;4510;0D;IZQUERDA;POSTE SOS ;78+800;2+780;;;;;;;;
26;4510;0D;DERECHA;PMV;78+950;;;20+000;;;;;;
27;4510;0D;SEPARADOR;CCTV;81+000;;;;;;;;;
28;4510;0D;DERECHA;POSTE SOS ;81+500;2+700;;;;;;;;
29;4510;0D;SEPARADOR;METEO;83+250;;;;;;;;;
30;4510;0D;IZQUERDA;POSTE SOS ;83+950;2+450;;;;;;;;
31;4510;1;SEPARADOR;CCTV;85+370;;;;;;;;;
32;4510;1;DERECHA;POSTE SOS ;86+900;2+950;;;86+290;PEATONAL;;;;
33;4510;1;SEPARADOR;CCTV;87+100;;;;;;;;;
34;4510;0D;IZQUERDA;POSTE SOS ;89+780;2+880;;;;;;;;
35;4510;5,1;SEPARADOR;CCTV;91+850;;;;;;;;;
36;4510;1;DERECHA;POSTE SOS ;92+520;2+740;;;;;;;;
37;4510;1;SEPARADOR;CCTV;93+920;;;;;;;;;
38;4510;0D;IZQUERDA;POSTE SOS ;95+300;2+780;;;;;;;;
39;4510;0D;SEPARADOR;CCTV;97+030;;;;96+890;INTER PTO BOYACA;;;;
40;4510;0D;IZQUERDA;PMV;97+250;;19+900;;;;;;;
41;4510;0D;DERECHA;POSTE SOS ;98+250;2+950;;;;;;;;
42;4510;0D;DERECHA;PMV;98+750;;;19+800;;;;;;
43;4510;0D;IZQUERDA;POSTE SOS ;100+750;2+500;;;;;;;;
44;4510;0D;DERECHA;POSTE SOS ;102+800;2+050;;;;;;;;
45;4510;0D;SEPARADOR;CCTV;104+150;;;;104+100;Area Servicio Zambito;;;;
46;4510;0D;IZQUERDA;POSTE SOS ;105+360;2+560;;;;;;;;
47;4510;0D;DERECHA;POSTE SOS ;108+130;2+770;;;109+357;PEATONAL;;;;
48;4510;0D;IZQUERDA;POSTE SOS ;111+070;2+940;;;;;;;;
49;4510;0D;DERECHA;POSTE SOS ;114+050;2+980;;;;;;;;
50;4510;0D;IZQUERDA;RADAR-ANPR;116+200;;;;;;;;;
51;4510;0D;DERECHA;RADAR-ANPR;116+200;;;;115+673;PEATONAL;;;;
52;4510;0D;IZQUERDA;GALIBO;116+200;;;;;;;;;
53;4510;0D;IZQUERDA;POSTE SOS ;117+020;2+970;;;;;;;;
54;4510;0D;IZQUERDA;PMV;117+250;;20+000;;;;;;;
55;4510;0D;DERECHA;PMV;118+660;;;19+910;;;;;;
56;4510;0D;DERECHA;POSTE SOS ;119+940;2+920;;;;;;;;
57;4510;0D;IZQUERDA;POSTE SOS ;122+940;3+000;;;123+806;PEATONAL;;;;
58;4510;2;DERECHA;POSTE SOS ;125+940;3+000;;;125+514;PEATONAL;;;;
59;4510;5,1;IZQUERDA;POSTE SOS ;128+840;2+900;;;;;;;;
60;4510;0D;DERECHA;POSTE SOS ;131+700;2+860;;;130+000;PEATONAL;;;;
61;4511;5,1;IZQUERDA;POSTE SOS ;+650;2+982;;;134+032;FIN RUTA 4510;;;;
62;4511;5,1;IZQUERDA;PMV;2+790;;19+572;;;;;;;
63;4511;0D;DERECHA;POSTE SOS ;3+550;2+900;;;;;;;;
64;4511;0D;DERECHA;GALIBO;3+600;;;;;;;;;
65;4511;0D;DERECHA;PMV;4+200;;;19+572;4+261;PEATONAL;;;;
66;4511;0D;IZQUERDA;POSTE SOS ;6+450;2+900;;;;;;;;
67;4511;5,1;IZQUERDA;CCTV;9+100;;;;;;;;;
68;4511;5,1;IZQUERDA;METEO;9+200;;;;9+150;PEAJE ZAMBITO;;;;
69;4511;0D;SEPARADOR;CCTV;9+365;;;;;;;;;
70;4511;2;DERECHA;POSTE SOS ;11+155;4+705;;;;;;;;
71;4511;2;SEPARADOR;CCTV;13+470;;;;;;;;;
72;4511;2;IZQUERDA;POSTE SOS ;13+590;2+435;;;;;;;;
73;4511;2;IZQUERDA;PMV;14+200;;11+410;;14+131;PEATONAL;;;;
74;4511;2;SEPARADOR;CCTV;14+500;;;;;;;;;
75;4511;2;DERECHA;POSTE SOS ;16+460;2+870;;;;;;;;
76;4511;5,1;IZQUERDA;GALIBO;16+550;;;;;;;;;
77;4511;5,1;IZQUERDA;POSTE SOS ;19+390;2+930;;;;;;;;
78;4511;0D;DERECHA;POSTE SOS ;22+300;2+910;;;;;;;;
79;;0D;DERECHA;PMV;22+300;;;18+100;;;;;;
80;4511;0D;IZQUERDA;POSTE SOS ;25+100;2+800;;;;;;;;
81;4511;0D;DERECHA;POSTE SOS ;28+060;2+960;;;;;;;;
82;4511;0D;IZQUERDA;POSTE SOS ;30+600;2+540;;;;;;;;
83;4511;0D;DERECHA;POSTE SOS ;33+330;2+730;;;;;;;;
84;;0D;IZQUERDA;PMV;34+200;;20+000;;;;;;;
85;4511;0D;IZQUERDA;POSTE SOS ;36+250;2+920;;;;;;;;
86;4511;0D;DERECHA;RADAR-ANPR;37+400;;;;;;;;;
87;4511;0D;DERECHA;POSTE SOS ;39+100;2+850;;;;;;;;
88;4511;5,1;SEPARADOR;CCTV;41+150;;;;;;;;;
89;4511;0D;SEPARADOR;CCTV;41+800;;;;;;;;;
90;4511;2;IZQUERDA;POSTE SOS ;41+940;2+840;;;;;;;;
91;4511;5,1;DERECHA;PMV;42+300;;;20+000;;;;;;
92;4511;5,1;DERECHA;POSTE SOS ;44+550;2+610;;;;;;;;
